area,old_value,new_value,action,compatibility_rule
Public brand,ArchiDom,RemHaos,REPLACE,No old brand in current UI
Extended public brand,ArchiDom Space,RemHaos,REPLACE,Do not retain Space in main brand
Technical prefix,ARCHIDOM,REMHAOS,RENAME_ACTIVE_DOCS,Keep in archive and immutable history only
Legacy typo/domain prefix,ARHIDOM,REMHAOS,REPLACE_OR_REDIRECT,Keep only in old host compatibility
Primary host,arhidom.space,remhaos.com,DOMAIN_CUTOVER,301 equivalent paths if old host controlled
WWW legacy host,www.arhidom.space,remhaos.com,DOMAIN_CUTOVER,One-hop 301
Experience layer label,ARCHIDOM EXPERIENCE LAYER,REMHAOS EXPERIENCE LAYER,REPLACE,Brand label only
Platform core label,ARCHIDOM PLATFORM CORE,REMHAOS PLATFORM CORE,REPLACE,Brand label only
Sprint label,ARCHIDOM PLATFORM FOUNDATION,REMHAOS PLATFORM FOUNDATION,REPLACE,Scope unchanged
Neutral technical IDs,project_* / workflow_* / validation_*,UNCHANGED,KEEP,Do not brand domain model
Historical documents,ArchiDom references,UNCHANGED,ARCHIVE_KEEP,Mark superseded; preserve provenance
Immutable migrations,ArchiDom references,UNCHANGED,MIGRATION_KEEP,Do not edit historical SQL
Environment variables,ARCHIDOM_*,REMHAOS_*,ALIAS_THEN_DEPRECATE,One release compatibility when required
