Area,Feature,Status,Evidence,Gap
Repository,Default branch,LIVE,GitHub API claude/new-session-gsayp3@7fd3512,Differs from production lineage
Repository,Production deployment,LIVE,GitHub deployment main@1072536 2026-07-18,Older than canonical default
M1,Public brief,IMPLEMENTED,app/i and app/api/intake routes,Browser production proof pending
M1,Passport,IMPLEMENTED,lib/brief/passport.ts and 12 tests,Shadow read model retained
M1,Risk register,PARTIAL,lib/risks plus review UI,Rerun still replaces accepted legacy cards
M1,Pricing,IMPLEMENTED,lib/pricing/calc.ts and tests,No production DB proof
M1,Proposal links,IMPLEMENTED,app/p and proposals public_token,Production regression pending
Platform,Project sources/facts,IMPLEMENTED,0007 plus facts adapter/tests,Migration not applied to production
Platform,Workflow runs/resume,IMPLEMENTED,0007 and m1-workflow adapter/retry state,Authenticated browser proof pending
Platform,Skill registry,IMPLEMENTED,lib/platform/contracts.ts,Internal only
Platform,Approval/self approval,IMPLEMENTED,proposal actions/editor and tests,Migration not applied to production
Platform,AI call measurement,IMPLEMENTED,provider usage plus ai_calls insert,Real provider cost rate must be configured
Platform,Audit ledger,IMPLEMENTED,0007 audit_events append-only grants,Production RLS proof pending
Studio,Versioned standards/resolver,IMPLEMENTED,0007 and resolver tests,No settings UI by scope
M2,M2 implementation,PLANNED,Canonical catalog only,Explicitly excluded
M3,M3 implementation,PLANNED,Canonical catalog only,Explicitly excluded
M4,M4 implementation,PLANNED,Canonical catalog only,Explicitly excluded

