id,area,repository_evidence,production_evidence,impact,status,required_resolution
CR-2026-08-01-01,migration_history,"origin/main contains legacy plus Project Intelligence/ProjectCEO timestamped migrations","Cloud Code reports 13 production entries with no repository timestamp match","Any replay against production may target the wrong schema","BLOCKER","Fresh read-only snapshot, exact ledger reconciliation, then explicit A/B/C decision"
CR-2026-08-01-02,schema_lineage,"projectceo_* and project_intelligence persistence/API schemas","Cloud Code reports no projectceo_* or project_intelligence schemas","Repository RPCs cannot be validated against production","BLOCKER","Do not migrate; design additive compatibility bridge in clone only"
CR-2026-08-01-03,M1_data_model,"legacy brief/passport/proposal plus Project Intelligence foundation","Production has governed workflow_runs/facts/approvals/ai_calls/proposal_revisions","Two M1 representations can diverge without explicit mapping","BLOCKER","Map IDs, provenance, versions and ownership before convergence"
CR-2026-08-01-04,M2_scope,"Decisions/selections/approvals foundation; no complete room/variant flow","concept_packs absent in production","M2 cannot be called deployed or user-ready","OPEN","Finish one-room/three-variant/selection slice after pilot gate"
CR-2026-08-01-05,M3_commands,"publish_baseline server command merged in PR #57; UI/read capability remains unavailable; other write commands unavailable","ProjectCEO M3 schemas/RPCs absent","M3 is not a production workflow","OPEN","Close AP2/AP3 on disposable contour and prove user-created flow"
CR-2026-08-01-06,security,"ProjectCEO code has request-bound/server-derived scope","Production lint warnings, rate_limits without policies, leaked-password protection disabled","Code security posture and hosted posture differ","OPEN","Hosted Auth/RLS/Storage review with owner sign-off"
CR-2026-08-01-07,evidence,"Local AP1/PG16/PG17/browser evidence exists","No production adoption evidence; Supabase Preview skipped","Local PASS cannot become production READY","BLOCKER","Fresh clone/backup/restore/browser/adoption checklist"
CR-2026-08-01-08,source_of_truth,"Canonical docs say production adoption is a separate gate","Operational production already serves live client data","Deploying repo migrations would be a product/data decision, not routine CI","BLOCKER","Keep production frozen until human adoption decision"
CR-2026-08-01-09,authenticated_authorization,"SECURITY DEFINER ProjectCEO functions call auth.uid()/auth.jwt() as pi_table_owner; migrations attempt managed auth grants","Cloud Code live RPC reproduced permission denied for schema auth; grant warnings do not fail migrations","AP1/AP2/AP3 authenticated surface is unusable on standard Supabase despite green migration/build checks","BLOCKER","Implement role-neutral signed-claim actor resolution or explicitly reviewed privilege model; add fail-fast ACL checks and live RPC regression"
CR-2026-08-01-10,migration_replay_order,"Repository migration directory applies 0001–0007 before clean-only legacy baseline","Supabase Preview for PR #60 failed at baseline guard before auth fix","No disposable replay can reach ProjectCEO migrations; green code checks are not DB evidence","BLOCKER","Choose and materialize clean-bootstrap vs incremental migration path without weakening the baseline guard"
