module,capability,user_scenario,ui_status,backend_status,database_status,integration_status,test_status,primary_status,user_readiness,evidence,blocker,recommended_action,priority
M1,Create project,Designer creates client project,connected,implemented,present,connected,not_freshly_verified,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"app/dashboard/actions.ts; public.projects/events",live Auth/RLS not exercised,Fresh authenticated smoke,P0
M1,Public brief,Client opens token and submits,connected,implemented,present,connected,not_freshly_verified,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"app/i/[token]; api/intake/start|submit",fresh DB/browser missing,Run disposable E2E,P0
M1,Draft persistence,Client leaves and returns,connected,localStorage_only,none,device_local,not_freshly_verified,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"wizard.tsx brief_${token}",no server/cross-device draft,Document limitation or add approved server draft,P1
M1,File upload,Client uploads plan/image,connected,implemented,private_bucket,connected,not_freshly_verified,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"api/intake/upload; client-uploads",hosted Storage policy not proven,Storage negative/recovery gate,P0
M1,Plan extraction,Designer gets plan-assisted questions,connected,partial,answers_and_storage,partial,unit_tests_present,PARTIAL,INTERNAL_ONLY,"plan-upload; plan-assist; plan-file-text.ts",not general attachment extraction,Bound supported file flow,P1
M1,Passport,Designer sees deterministic passport,connected,implemented,jsonb_project,connected,tests_present_not_run,WORKING_END_TO_END,INTERNAL_ONLY,"brief/passport.ts; intake/submit",fresh execution absent,Re-run tests/E2E,P0
M1,Fact assumption unknown split,Designer sees evidence class,partial,partial,jsonb_only,disconnected,not_found,PARTIAL,INTERNAL_ONLY,"projects.passport; risks",no field-level provenance,Bridge to evidence model,P2
M1,Risks,Designer reviews rule/LLM cards,connected,implemented,present,connected,tests_present_not_run,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"risks/*; project review actions",provider/env and degraded heuristic,Provider/legal + fresh E2E,P0
M1,Pricing,Designer gets RUB range,connected,implemented,jsonb_pricing,connected,tests_present_not_run,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"pricing/calc.ts; proposal page",not contracted baseline,Version scope/price,P1
M1,Proposal,Designer edits and sends proposal,connected,implemented,present,connected,tests_present_not_run,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"proposal page/actions; public /p",fixed version 1,Add version lifecycle,P1
M1,Proposal response,Client accepts/discusses/changes,connected,implemented,events,connected,route_tests_present,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"api/proposal/respond",event is not legal signature,Preserve limitation and audit,P1
M1,Contract,Upload/track signed contract,absent,absent,absent,absent,not_found,NOT_IMPLEMENTED,BLOCKED_FOR_USERS,"no route/entity found",contracted passport gate missing,External contract tracking,P1
M1,Project room,Accepted proposal creates participants/tasks,connected,implemented,present,connected,tests_present_not_run,WORKING_WITH_LIMITATIONS,INTERNAL_ONLY,"room/actions; room token route",token lifecycle/hosted proof absent,Security/E2E gate,P1
M2,Text concept pack,Designer creates concept summary,connected,implemented,missing_authoritative_table,broken,tests_present_not_run,BROKEN,BLOCKED_FOR_USERS,"concept-pack actions; baseline SQL says 0008 absent",concept_packs migration drift,Resolve additive baseline,P0
M2,Rooms,Designer manages design rooms,absent,absent,absent,absent,not_found,NOT_IMPLEMENTED,BLOCKED_FOR_USERS,"no M2 room entity/route",vertical slice absent,One-room slice,P1
M2,Visual variants,Designer creates/history/selects variants,absent,absent,absent,absent,not_found,NOT_IMPLEMENTED,BLOCKED_FOR_USERS,"no variant route/entity",vertical slice absent,Three-variant slice,P1
M2,AI image edits,Designer changes selected visual,absent,absent,absent,absent,not_found,NOT_IMPLEMENTED,BLOCKED_FOR_USERS,"no runtime image generation flow",provider/legal/economics gate,Keep future,FUTURE
