resource,type,identifier,region_or_scope,account,referenced_in,purpose,est_monthly_cost_usd,verdict,executor,notes
Supabase organization,org,riykzsukoatsahgtarqm,-,Supabase account A (session),live API,"Remhaos+ Pet ID, plan pro; holds RemHaOS + two unrelated products",25 base,keep; consider splitting orgs per product (Р27),owner,"Petid.care and Aether sit next to RemHaOS production"
Supabase project,production database,ztnycrchwxqczqbyegnp,ap-northeast-1 (Tokyo),Supabase account A,"ARCHITECTURE.md:22; AP1_RUNBOOK.md:13,615; .github/workflows/ci.yml:497; supabase/migrations/README.md:45",RemHaOS production (remhaos.com),10 compute,KEEP — do not touch until reconciliation (Track 1),owner,"23 migrations on a different lineage than repo; market_harvest schema present; branching bound to deleted git branch"
Supabase project,disposable staging,ukkzasfsmannjprfkaxp,ap-southeast-1,Supabase account A,".github/workflows/ci.yml:450; tests/ap1/environment/ci-secret-log.contract.test.ts:93; docs/audits/REMHAOS_AUTONOMOUS_STAGING_ACCEPTANCE_2026-08-29.md",hosted AP1/AP5 acceptance 29.08 (done),10,PAUSE then DELETE after removing hardcode (Track 0.6–0.7),eng then owner,"5 fixture designers, no real data"
Supabase preview branch,preview database,powmsggvacbzqfkqazyv (remhaos-unified-staging-phase1-20260828),branch of ztnycrchwxqczqbyegnp,Supabase account A,live API,broken preview (MIGRATIONS_FAILED),~10 (ACTIVE_HEALTHY),DELETE (Track 0.5),owner/destructive,
Supabase preview branch,preview database,udtjczcnemndubsyuqxc (archidom-sprint1-pilot),branch of ztnycrchwxqczqbyegnp,Supabase account A,live API,July pilot leftover (inactive),0,DELETE (Track 0.5),owner/destructive,
Supabase GitHub integration,branching binding,git branch claude/new-session-gsayp3 (PR #33),ztnycrchwxqczqbyegnp,Supabase account A,live API,production branch mapping to a deleted git branch; MIGRATIONS_FAILED,0,DISCONNECT branching/GitHub integration (Track 0.4),owner,"do NOT re-point to main before reconciliation"
Supabase project,other product,iztqbgyytgcokfdpmfan (aether-medium),eu-central-1,Supabase account A,selena-OS docs only,Elmo/Aether,10,not RemHaOS — leave,owner,
Supabase project,other product,ljrvadwwqkqocqstvjrf (Petid.care),ap-northeast-2,Supabase account A,none,PetID,10,not RemHaOS — leave,owner,
Supabase project,disposable (orphan),uafvzxdxlxqkpsejgskt (remhaos-ap1-disposable),ap-northeast-1,Supabase account B (not visible),"AP1_RUNBOOK.md:29,164,573,658; docs/canonical/remhaos-v1/REMHAOS_MIGRATION_ERRATA.md:46",AP1 stand 01.08 (paused 02.08),0–10,VERIFY in second account then DELETE (Track 0.8),owner,
Supabase project,disposable (orphan),qoyemgoskhuqdexlejhp (remhaos-ap1-pilot),ap-northeast-1,Supabase account B / org huqbxcmbidfqverftqrk,"docs/audits/REMHAOS_AP1_PILOT_EVIDENCE_2026-08-24.md:3-4,20",AP5 pilot 24.08,10,VERIFY in second account then DELETE; close org (Track 0.8),owner,
Supabase storage bucket,storage,client-uploads,ztnycrchwxqczqbyegnp,Supabase account A,"supabase/migrations/20260716071024_legacy_production_baseline.sql:515-517; lib/integration-gateway/file-intake/storage.ts:9",client plans/photos (PII),incl.,KEEP,-,opaque keys; TTL <=900 in core
Railway project,worker service,197ad51c-cfa6-4f72-bd3e-49bb8a0e4bbb remhaos-market-harvest / collector,sfo,Railway workspace parkourcafe,none in repo,lead harvesting collector writing market_harvest schema into production DB with service_role,2–5,EXPORT data then STOP service; delete volume after code copy; ROTATE production service_role (Track 0.9),owner + eng/destructive,"vars: FIRECRAWL_*, HARVEST_*, SUPABASE_URL, SUPABASE_SERVICE_ROLE_KEY; idle since 21.08"
Railway project,other product,selena-os / selena-os-staging / selena-ai-visibility / OS Selena agent systems,-,Railway workspace parkourcafe,-,Elmo / Selena OS,-,not RemHaOS — leave,owner,
Railway project,duplicate,profound-acceptance + amusing-creativity (services-marketing-machine x2); vivacious-courage (@bai/web),-,Railway workspace parkourcafe,-,unrelated,-,not RemHaOS — review separately,owner,
Vercel project,hosting,yulaboober/design-interior2026-07,-,Vercel scope yulaboober,"HANDOFF_CINEMATIC.md:41-57; package.json deploy:prod",production + previews of remhaos.com,unknown,KEEP; unblock deployment; production branch = release; enable preview protection (Track 0.2),owner,"Deployment was blocked on PR #124 (31.08)"
Domain,dns,remhaos.com / www.remhaos.com,-,owner registrar/Vercel,".env.example; lib/env.ts:4; capacitor.config.ts:8",canonical product domain (DEC-019),-,KEEP,owner,
Domain,dns,arhidom.space,-,Vercel,"supabase/email-templates/README.md:21,30-32; LAUNCH_CHECKLIST.md:1",legacy domain carrying Resend SPF/DKIM/DMARC,-,KEEP until mail moves to remhaos.com then redirect,owner,
Domain,dns,arhidom.com,-,unknown,"HANDOFF_CINEMATIC.md:46,176",not bound,-,RELEASE if paid,owner,
GitHub repository,source,parkourcafe/design-interior2026.07 (private),-,GitHub parkourcafe,-,product repo,-,KEEP; prune merged branches + Main; branch protection (Track 0.11),eng/destructive,"84 branches; open PRs #122 close, #123 merge, #124 drive"
GitHub Actions,ci,billing/spending limit,-,GitHub parkourcafe,".github/workflows/*.yml",all CI gates,unknown,RESTORE billing (Track 0.1),owner,"blocked since 31.08 15:50 UTC; jobs fail in 2–33 s, logs 404"
GitHub environments,secrets,disposable-staging / production,-,GitHub parkourcafe,".github/workflows/ci.yml:451-455; worker-change-impact.yml:64-84","AP1_DB_URL, NEXT_PUBLIC_SUPABASE_*, SUPABASE_SERVICE_ROLE_KEY; PRODUCTION_SUPABASE_URL, PRODUCTION_SUPABASE_SERVICE_ROLE_KEY",-,ROTATE production key; repoint staging secrets per run,owner,
GitHub repository,related (out of scope),Selena-AI-projects/design2026ru (pushed 2026-07-02),-,GitHub org Selena-AI-projects,-,probable original clone of the product (prod project was named design2026),-,VERIFY then ARCHIVE,owner,
GitHub repository,related (out of scope),parkourcafe/hermes-telegram-bridge (pushed 2026-08-27),-,GitHub parkourcafe,-,possibly related to Telegram bridge A7,-,VERIFY,owner,
LLM provider,api,z.ai / Zhipu GLM (ZAI_API_KEY),-,z.ai account,"lib/llm/*; HANDOFF.md:17",runtime LLM (owner-approved deviation),usage,KEEP (confirm which key lives in Vercel env),owner,".env.example defaults LLM_PROVIDER=yandex — mismatch"
LLM provider,api,Yandex Cloud Foundation Models (YC_FOLDER_ID/YC_API_KEY),-,Yandex Cloud account,"lib/llm/yandex.ts; .env.example:39",default provider per env example,usage,KEEP or revoke unused key,owner,
