ID,Area,Conflict,Resolution,Status
C-001,Production migrations,"Production project reports MIGRATIONS_FAILED","Do not apply migrations to production before separate baseline reconciliation",BLOCKED
C-002,Workflow chronology,"Execution brief target order differs from persisted legacy-compatible order","Document as PARTIAL; do not rewrite working M1 flow in Sprint 1",PARTIAL
C-003,Browser QA,"After preview env redeploy, supplied test accounts are absent in preview Auth and login returns Invalid login credentials","Create or confirm a test Auth user in disposable branch qudnbhkvzufotlsskcdc, then rerun authenticated persisted workflow QA; production untouched",BLOCKED
C-004,Security scan,"Formal external scanner could not access workspace","Use manual diff review, tests and independent SQL proof as current evidence",PARTIAL
C-005,Local filesystem,"iCloud offloaded repo files caused git/test hangs","Restore node_modules, .next and migrations locally; keep repo downloaded on workstation",PARTIAL
C-006,Module scope,"M2-M5 and integrations remain out of Sprint 1 scope","No implementation in this package",IMPLEMENTED
C-007,Production branch,"PR #53 must not be merged automatically","PR #53 is currently not draft and must remain unmerged until final browser QA and production-adoption gate are separately approved",PARTIAL
C-008,Repository evidence,"Feature readiness matrix was stale after PR packaging","Updated Release/QA evidence to PR #53 checks green at head e4465ed and current preview Auth blocker",IMPLEMENTED
C-009,Browser QA evidence,"Preview public smoke and API guardrails are proven, but authenticated persisted workflow is not","Workflow QA now records public desktop/mobile routes, API guardrails, old-token not_found after env redeploy, and current confirmed-user Auth blocker",PARTIAL
C-010,Supabase Preview runtime routing,"PR #53 preview no longer reproduces the old parent-project PGRST202 on the stale intake token, but full runtime routing is not proven by authenticated workflow QA","Do not migrate parent/production automatically; create/confirm a disposable branch Auth user and complete persisted M1 Browser QA",PARTIAL
