Area,Feature,Readiness,Evidence level,Evidence,Gap,Sprint 1 action,Priority
M1,Public brief/intake,PARTIAL,CODE_REPORTED,CLAUDE.md/history,Not runtime proven,Phase 0 + regression,P0
M1,Passport builder,PARTIAL,CODE_REPORTED,buildPassport stated,No provenance graph,Adapter + project_facts,P0
M1,Risk engine/review,PARTIAL,CODE_REPORTED,rules+LLM stated,No action/approval contract,Register + gate,P0
M1,Pricing,PARTIAL,CODE_REPORTED,deterministic stated,No standard version/cost model,Resolver + tests,P0
M1,Proposal issue,PARTIAL,CODE_REPORTED,versions/token stated,Shared release gate not proven,Approval gate + regression,P0
Platform,Project facts/provenance,NOT_STARTED,DOC_TARGET,Charter/Architecture,No normalized ledger,Implement,P0
Platform,Project Graph v1,NOT_STARTED,DOC_TARGET,Entity Catalog,Relations not proven,Relational FKs/contracts,P0
Platform,Workflow Engine,NOT_STARTED,DOC_TARGET,Workflow Catalog,No persisted state,Implement M1 only,P0
Platform,Action/Skill Registry,NOT_STARTED,DOC_TARGET,Architecture,Implicit functions,Implement M1 registry,P0
Platform,Approval Requests,NOT_STARTED,DOC_TARGET,Charter,No reusable gate,Implement + self_approved,P0
Platform,AI cost instrumentation,NOT_STARTED,DOC_TARGET,Charter/A1,Historical cost unrecoverable,Implement ai_calls,P0
Platform,Audit/Event contract,PARTIAL,CODE_REPORTED,events stated,No catalog/workflow links,Extend compatibly,P0
Studio,Studio Memory v0,EARLY_FRAGMENT,CODE_REPORTED,pricing/defaults stated,No versioned standard,Resolver + version refs,P0
Studio,Design System,PLANNED,DOC_TARGET,Architecture,Not Sprint 1,Backlog,P2
Integrations,P0 imports,UNKNOWN,DOC_TARGET,Charter ceiling,Repo proof missing,No implementation Sprint 1,P2
Integrations,PII-heavy connectors,BLOCKED,OWNER_GATE,152-ФЗ open,Not authorized,Do not build,P3
Integrations,Telegram chat bridge,NOT_PROVEN,CODE_AND_DB4,TG0 PASS (A7/DEC-031 signed); schema+RLS+default-deny; one live binding per chat and per project enforced by partial unique indexes; populated-base upgrade and creation-race proofs execute in CI,TG1 REOPENED pending C1 acceptance; TG2 REOPENED; TG3 NOT PROVEN — no create_change and no browser proof; TG4 BLOCKED_EXTERNAL_CREDENTIALS; production disabled; M4 Increment 2 closed,Accept C1; then C2 transport correction; then C3 with real create_change and AP5,P2
M2,Design workflow,BUILT_NOT_EXTERNALLY_VALIDATED,CODE_AND_DB4,Opened by A4/DEC-021; P0 frozen by the owner 08.08.2026 (M2_CLOSEOUT_2026-08-08.md; owner self-score 83/100); decisions/selections/approvals persisted by migrations 20260802020000-20260802090000; exactly three design-intent variants; separate human approval (assistant and submitter refused); immutable Approved Commit with canonical order; deterministic RUB budget matched the supplied estimate to the rouble; exact-version handoff into M3 via publish_m2_m3_handoff; DB4 M2 sets green on PostgreSQL 16 and 17 in CI; Layout Studio behind ARCHIDOM_LAYOUT_STUDIO_ENABLED,No external real package has ever gone through the same contracts (AP6) — the 17 points the owner withheld; cycle 7 open and npm run test:cycle7 intentionally red; shell logic of two executor scripts read by nobody,Run one external real package through the same contracts (AP6),P1
M3,Documentation workflow,BUILT_NOT_PRODUCTION_ENABLED,CODE_AND_DB4,Opened by A5/DEC-024; all six P0 points built — intake (register_source open since 10.08.2026; the read_contract_pending refusal is gone); sheet entity in modules/documentation; revisions; reviewPackageCompleteness plus ConflictReview; baseline; immutable Released Production Package; persistence and read in migrations 20260810010000 and 20260810020000; surface pinned as data by m3-surface.ts with m3-surface-matrix.test.ts and tests/db4/06_m3_surface_classification.sql; sheet and read operations by tests/db4/34 and 35; entry only through the persisted exact handoff,Publication closed by guardrail 20260811010000 plus REMHAOS_DOCUMENTATION_ENABLED and opened only by a one-shot environment script; seven open items in M3_PRODUCTION_HARDENING_BACKLOG — the authoritative audited DB-state for enabling the module is their shared precondition; register_source_inventory is closed by the application only (app_gate_only); DEC-026 and DEC-027 never reached the decision log (PR #77); no external real package,Close the M3 hardening backlog before any external M3 pilot; land or cancel PR #77,P2
